1	增值税	high	太原市	1
2	消费税	low	古交市	1
3	营业税	middle	大同市	1
4	企业所得税	middle	阳泉市	12
5	个人所得税	middle	阳泉市	8
6	非居民税收	high	朔州市	12
7	外企所得税	low	临汾市	14
8	出口退税	high	吕梁市	14
9	证券交易印花税	high	临汾市	14
10	车辆购置税	low	介休市	14
11	土地增值税	high	晋城市	14
12	契税	low	长治市	12
13	社会保险费	middle	汾阳市	12
14	其他类	low	汾阳市	12
15	非居民税收	high	临汾市	99
16	非居民税收	high	朔州市	1
17	营业税	middle	阳泉市	1
18	个人所得税	middle	朔州市	1
19	企业所得税	middle	阳泉市	9
20	个人所得税	middle	大同市	42
21	土地增值税	high	晋城市	42
22	契税	low	长治市	42
23	社会保险费	middle	汾阳市	42
24	其他类	low	汾阳市	42
25	非居民税收	high	临汾市	42
26	非居民税收	high	汾阳市	1
27	营业税	middle	朔州市	1
28	个人所得税	middle	朔州市	1
